game_url,away_team_name,away_team_initials,away_record_status,away_Q1,away_Q2,away_Q3,away_Q4,away_final_score,home_team_name,home_team_initials,home_record_status,home_Q1,home_Q2,home_Q3,home_Q4,home_final_score,stadium_name,stadium_attendance,stadium_capacity,game_location,game_date
https://www.espn.com/nfl/playbyplay/_/gameId/401437607,Green Bay Packers,GB,"2-1, 1-1 away",7,7,0,0,14,Tampa Bay Buccaneers,TB,"2-1, 0-1 home",3,0,3,6,12,Raymond James Stadium,"69,197","65,828","Tampa, FL ","4:25 PM, September 25, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437746,San Francisco 49ers,SF,"1-2, 0-2 away",7,0,0,3,10,Denver Broncos,DEN,"2-1, 2-0 home",0,3,2,6,11,Empower Field at Mile High,"77,021","76,125","Denver, CO ","8:20 PM, September 25, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437747,Dallas Cowboys,DAL,"2-1, 1-0 away",3,3,7,10,23,New York Giants,NYG,"2-1, 1-1 home",0,3,10,3,16,MetLife Stadium,"79,445","82,500","East Rutherford, NJ ","8:15 PM, September 26, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437748,Miami Dolphins,MIA,"3-1, 1-1 away",3,9,3,0,15,Cincinnati Bengals,CIN,"2-2, 1-1 home",7,7,0,13,27,Paycor Stadium,"67,260","65,515","Cincinnati, OH ","8:15 PM, September 29, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401435639,Minnesota Vikings,MIN,3-1,7,6,3,12,28,New Orleans Saints,NO,1-3,0,7,7,11,25,Tottenham Hotspur Stadium,"60,639","62,062",London ,"9:30 AM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437749,Cleveland Browns,CLE,"2-2, 1-1 away",0,10,3,7,20,Atlanta Falcons,ATL,"2-2, 1-1 home",10,0,0,13,23,Mercedes-Benz Stadium,"69,435","75,000","Atlanta, GA ","1:00 PM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437751,Washington Commanders,WSH,"1-3, 0-2 away",0,7,3,0,10,Dallas Cowboys,DAL,"3-1, 2-1 home",3,9,3,10,25,AT&T Stadium,"92,946","100,000","Arlington, TX ","1:00 PM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437752,Seattle Seahawks,SEA,"2-2, 1-1 away",14,10,14,10,48,Detroit Lions,DET,"1-3, 1-2 home",6,9,8,22,45,Ford Field,"63,920","64,500","Detroit, MI ","1:00 PM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437754,Tennessee Titans,TEN,"2-2, 1-1 away",14,10,0,0,24,Indianapolis Colts,IND,"1-2-1, 1-1 home",0,10,7,0,17,Lucas Oil Stadium,"65,781","63,000","Indianapolis, IN ","1:00 PM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437755,Chicago Bears,CHI,"2-2, 0-2 away",6,3,3,0,12,New York Giants,NYG,"3-1, 2-1 home",7,7,3,3,20,MetLife Stadium,"74,044","82,500","East Rutherford, NJ ","1:00 PM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437756,Jacksonville Jaguars,JAX,"2-2, 1-2 away",14,0,0,7,21,Philadelphia Eagles,PHI,"4-0, 2-0 home",0,20,0,9,29,Lincoln Financial Field,"69,879","69,879","Philadelphia, PA ","1:00 PM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437757,New York Jets,NYJ,"2-2, 2-0 away",3,7,0,14,24,Pittsburgh Steelers,PIT,"1-3, 0-2 home",0,6,7,7,20,Acrisure Stadium,"66,578","68,400","Pittsburgh, PA ","1:00 PM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437750,Buffalo Bills,BUF,"3-1, 2-1 away",3,7,10,3,23,Baltimore Ravens,BAL,"2-2, 0-2 home",14,6,0,0,20,M&T Bank Stadium,"70,494","70,745","Baltimore, MD ","1:00 PM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437753,Los Angeles Chargers,LAC,"2-2, 1-1 away",7,20,0,7,34,Houston Texans,HOU,"0-3-1, 0-1-1 home",0,7,7,10,24,NRG Stadium,"69,071","71,995","Houston, TX ","1:00 PM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437758,Arizona Cardinals,ARI,"2-2, 2-0 away",0,3,7,16,26,Carolina Panthers,CAR,"1-3, 1-2 home",0,10,0,6,16,Bank of America Stadium,"69,810","73,778","Charlotte, NC ","4:05 PM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437759,New England Patriots,NE,"1-3, 1-2 away",3,7,7,7,0,Green Bay Packers,GB,"3-1, 2-0 home",0,7,10,7,3,Lambeau Field,"78,317","81,041","Green Bay, WI ","4:25 PM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437760,Denver Broncos,DEN,"2-2, 0-2 away",7,9,0,7,23,Las Vegas Raiders,LV,"1-3, 1-1 home",3,16,3,10,32,Allegiant Stadium,"62,332","65,000","Las Vegas, NV ","4:25 PM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437470,Kansas City Chiefs,KC,"3-1, 2-1 away",14,14,10,3,41,Tampa Bay Buccaneers,TB,"2-2, 0-2 home",3,14,7,7,31,Raymond James Stadium,"68,348","65,828","Tampa, FL ","8:20 PM, October 2, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437761,Los Angeles Rams,LAR,"2-2, 1-1 away",3,3,3,0,9,San Francisco 49ers,SF,"2-2, 2-0 home",7,7,0,10,24,Levi's Stadium,"71,597","68,500","Santa Clara, CA ","8:15 PM, October 3, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437762,Indianapolis Colts,IND,"2-2-1, 1-1-1 away",0,3,3,3,3,Denver Broncos,DEN,"2-3, 2-1 home",3,3,3,0,0,Empower Field at Mile High,"76,667","76,125","Denver, CO ","8:15 PM, October 6, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401435640,New York Giants,NYG,4-1,3,7,3,14,27,Green Bay Packers,GB,3-2,10,10,0,2,22,Tottenham Hotspur Stadium,"61,024","62,062",London ,"9:30 AM, October 9, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437763,Pittsburgh Steelers,PIT,"1-4, 1-2 away",3,0,0,0,3,Buffalo Bills,BUF,"4-1, 2-0 home",10,21,0,7,38,Highmark Stadium,"70,764","71,621","Orchard Park, NY ","1:00 PM, October 9, 2022"
https://www.espn.com/nfl/playbyplay/_/gameId/401437764,Los Angeles Chargers,LAC,"3-2, 2-1 away",3,14,10,3,30,Cleveland Browns,CLE,"2-3, 1-2 home",14,7,7,0,28,Cleveland Browns Stadium,"67,431","67,431","Cleveland, OH ","1:00 PM, October 9, 2022"
